publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,macrophyte_identification,dm_gm2,log_dm_gm2,dm_gm2_value,dm_gm2_conversion,dm_gm2_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,822.86,2.915,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,849.21,2.929,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,851.08,2.93,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,852.49,2.931,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,905.61,2.957,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,932.27,2.97,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,954.91,2.98,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,996.19,2.998,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,1002.38,3.001,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Cape Sable Seaside Sparrow Project,NA,2026,NA,NA,NA,NA,Florida,United States of America,Everglades,Everglades_other,karstic_wetland,wetland,aboveground macrophyte community,1103.27,3.043,mean,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,35.81,1.554,value,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,116.85,2.068,value,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,149,2.173,value,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,179.47,2.254,value,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,202.78,2.307,value,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,358.67,2.555,value,none,NA,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,296.5,2.472,value,none,NA,0.05,-1.283,value,none,NA,0.82,-0.086,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,99.43,1.998,value,none,NA,0.09,-1.064,value,none,NA,1.1,0.041,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,106.18,2.026,value,none,NA,0.03,-1.485,value,none,NA,1.53,0.186,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,444.15,2.648,value,none,NA,0.06,-1.205,value,none,NA,1.66,0.221,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,201.26,2.304,value,none,NA,0.13,-0.89,value,none,NA,1.67,0.222,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,91.33,1.961,value,none,NA,0.1,-0.993,value,none,NA,1.72,0.235,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,253.05,2.403,value,none,NA,0.11,-0.958,value,none,NA,1.97,0.293,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough slough,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,153.32,2.186,value,none,NA,0.09,-1.042,value,none,NA,2.09,0.321,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,439.28,2.643,value,none,NA,0.05,-1.27,value,none,NA,2.22,0.347,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,154.38,2.189,value,none,NA,0.06,-1.241,value,none,NA,2.23,0.349,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,128.21,2.108,value,none,NA,0.05,-1.266,value,none,NA,2.3,0.362,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,423.65,2.627,value,none,NA,0.06,-1.243,value,none,NA,2.59,0.413,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,200.59,2.302,value,none,NA,2.22,0.347,value,none,NA,2.59,0.413,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,314.65,2.498,value,none,NA,0.11,-0.972,value,none,NA,2.79,0.445,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,425.98,2.629,value,none,NA,0.06,-1.259,value,none,NA,2.8,0.448,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,80.71,1.907,value,none,NA,0.17,-0.767,value,none,NA,2.83,0.451,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,98.07,1.992,value,none,NA,0.07,-1.171,value,none,NA,2.84,0.453,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,303.1,2.482,value,none,NA,0.04,-1.432,value,none,NA,3.28,0.516,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,628.1,2.798,value,none,NA,0.09,-1.048,value,none,NA,3.45,0.537,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,373.95,2.573,value,none,NA,0.07,-1.129,value,none,NA,3.63,0.559,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,161.31,2.208,value,none,NA,0.08,-1.123,value,none,NA,3.82,0.583,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,276.8,2.442,value,none,NA,0.15,-0.829,value,none,NA,3.96,0.598,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,694.72,2.842,value,none,NA,0.09,-1.042,value,none,NA,4.08,0.61,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,398.23,2.6,value,none,NA,0.12,-0.919,value,none,NA,4.13,0.616,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,263.4,2.421,value,none,NA,0.1,-0.981,value,none,NA,4.21,0.624,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,267.89,2.428,value,none,NA,0.06,-1.194,value,none,NA,4.35,0.639,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,396.94,2.599,value,none,NA,0.14,-0.84,value,none,NA,4.37,0.64,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,146.06,2.165,value,none,NA,0.1,-1.016,value,none,NA,4.45,0.648,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,312.62,2.495,value,none,NA,0.11,-0.951,value,none,NA,5,0.699,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,238.86,2.378,value,none,NA,0.06,-1.206,value,none,NA,5.03,0.702,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough slough ,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,309.02,2.49,value,none,NA,0.13,-0.873,value,none,NA,5.04,0.703,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,216.94,2.336,value,none,NA,0.16,-0.803,value,none,NA,5.23,0.718,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,215.71,2.334,value,none,NA,0.14,-0.859,value,none,NA,5.95,0.775,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Shark River Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,298.54,2.475,value,none,NA,1.67,0.222,value,none,NA,5.96,0.775,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,191.73,2.283,value,none,NA,0.31,-0.508,value,none,NA,7.31,0.864,value,none,NA
Everglades Case Study,"Kleindl, P. M., Candelario, C., & Gaiser, E. E.",2026,NA,NA,NA,NA,Florida,United States of America,Everglades Taylor Slough ridge,Everglades,karstic_wetland,wetland,live aboveground macrophyte community,206.14,2.314,value,none,NA,1.66,0.221,value,none,NA,8.84,0.947,value,none,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,102,2.009,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,174.2,2.241,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,188,2.274,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,268,2.428,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,592,2.772,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,788.8,2.897,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,838,2.923,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fennessy et al., 1994","Fennessy, M. S., Cronk, J. K., & Mitsch, W. J.",1994,Macrophyte productivity and community development in created freshwater wetlands under experimental hydrological conditions,Ecological Engineering,https://doi.org/10.1016/0925-8574(94)00013-1,NA,Illinois,United States of America,Des Plaines River floodplain wetland,wetland,wetland,wetland,live aboveground macrophyte community,1089.2,3.037,mean,none,table 3,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Sentiz Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Chara fragilis,53,1.724,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Sentiz Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Myriophyllum alterniforum,61,1.785,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Nitella translucens,64,1.806,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Redos Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Chara fragilis,64,1.806,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Redos Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Myriophyllum alterniforum,95,1.978,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Chara fragilis,113,2.053,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Myriophyllum alterniforum,118,2.072,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology-Archiv furHydrobiologie,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,aboveground Potamogeton natans,184,2.265,mean,none,table 7,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Sentiz Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Chara fragilis,-9999,-9999,NA,NA,NA,0.04,-1.409,minimum,mg/m2 to g/m2,table 9,0.1,-1.004,minimum,mg/m2 to g/m2,table 9
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Myriophyllum alterniforum,-9999,-9999,NA,NA,NA,0.01,-2.155,minimum,mg/m2 to g/m2,table 9,0.11,-0.951,minimum,mg/m2 to g/m2,table 9
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Chara fragilis,-9999,-9999,NA,NA,NA,0.01,-2.097,minimum,mg/m2 to g/m2,table 9,0.13,-0.886,minimum,mg/m2 to g/m2,table 9
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Nitella translucens,-9999,-9999,NA,NA,NA,0,-2.398,minimum,mg/m2 to g/m2,table 9,0.16,-0.799,minimum,mg/m2 to g/m2,table 9
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Chozas Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Potamogeton natans,-9999,-9999,NA,NA,NA,0.02,-1.824,minimum,mg/m2 to g/m2,table 9,0.3,-0.52,minimum,mg/m2 to g/m2,table 9
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Redos Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Chara fragilis,-9999,-9999,NA,NA,NA,0.02,-1.62,minimum,mg/m2 to g/m2,table 9,0.37,-0.435,minimum,mg/m2 to g/m2,table 9
"Fernandez-Alaez and Fernandez-Alaez, 2011","Fernandez-Alaez, C., & Fernandez-Alaez, M.",2011,Seasonal changes in tissue nutrient concentrations of macroalgae and aquatic angiosperms in Mediterranean ponds (North-Western Spain),Fundamental and Applied Limnology,https://doi.org/10.1127/1863-9135/2011/0179-0179,NA,NA,Spain,Sentiz Pond,pond,shallow_lake_and_pond,other_fw_benthic_system,Myriophyllum alterniforum,-9999,-9999,NA,NA,NA,0,-2.398,minimum,mg/m2 to g/m2,table 9,0.61,-0.214,minimum,mg/m2 to g/m2,table 9
